,PID,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,NumbrFlrs,HouseAge,Remodeled,LogPrice,AllBathrooms,TotalLivArea,TotalOutdoorSF,HasPool
1,909176150,126000,1-STORY 1945 & OLDER,RL,60,7890,2,0,4,Lvl,4,Corner,1,Southwest of ISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,3,1,618,GasA,3,Y,SBrkr,2,1,3,4,8,1,4,Detchd,1939,1,2,399,3,3,2,0,0,No Misc,0,Mar,2010,Warranty Deed,Normal,1,71,1,11.744037185933616,2.0,1094,166,0
2,905476230,139500,1-STORY PUD 1946 & NEWER,RL,42,4235,2,0,4,Lvl,4,Inside,1,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149,4,3,CBlock,4,3,2,6,5,104,GasA,3,Y,SBrkr,2,1,4,5,8,0,0,Attchd,1984,3,1,266,3,3,2,0,0,No Misc,0,Feb,2009,Warranty Deed,Normal,1,26,0,11.845819880243557,3.0,1994,105,0
3,911128020,124900,1-STORY 1945 & OLDER,C (all),60,6060,2,0,4,Lvl,4,Inside,1,"Iowa DOT,Rail Road",Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0,4,3,BrkTil,3,3,1,5,1,100,GasA,5,Y,SBrkr,2,1,4,5,8,0,0,Detchd,1930,1,1,216,3,1,0,0,0,No Misc,0,Nov,2007,Warranty Deed,Normal,1,80,1,11.73526869611367,1.0,1738,282,0
4,535377150,114000,2-STORY 1945 & OLDER,RL,80,8146,2,0,4,Lvl,4,Corner,1,Old Town,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0,4,4,BrkTil,2,3,1,1,1,405,GasA,4,Y,SBrkr,2,1,3,6,8,0,0,Detchd,1940,1,1,281,3,3,0,0,0,No Misc,0,May,2009,Warranty Deed,Normal,2,110,1,11.643953727376633,1.0,1039,279,0
5,534177230,227000,2-STORY 1946 & NEWER,RL,70,8400,2,0,4,Lvl,4,Inside,1,Northwest Ames,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,1,167,GasA,5,Y,SBrkr,3,1,4,6,8,0,0,Attchd,2001,3,2,528,3,3,2,0,0,No Misc,0,Nov,2009,Warranty Deed,Normal,2,9,0,12.332705296463539,3.5,2308,45,0
6,908128060,198500,SPLIT FOYER,RL,64,7301,2,0,4,Lvl,4,Corner,1,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500,4,3,Slab,0,0,0,0,0,0,GasA,5,Y,SBrkr,4,1,4,7,8,1,5,BuiltIn,2003,2,2,672,3,3,2,0,0,No Misc,0,Jul,2009,Contract,Normal,1,7,0,12.198544379109382,3.0,1922,177,0
7,902135020,93000,1-STORY 1946 & NEWER ALL STYLES,RM,60,6000,2,2,4,Bnk,4,Inside,2,Old Town,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,CBlock,2,3,1,1,1,936,GasA,3,N,SBrkr,2,1,3,4,6,0,0,Detchd,1974,1,2,576,3,3,2,0,0,No Misc,0,Feb,2009,Warranty Deed,Normal,1,57,0,11.440354772135393,1.0,936,144,0
8,528228540,187687,1-STORY 1946 & NEWER ALL STYLES,RL,53,3710,2,0,4,Lvl,4,Inside,1,Bloomington Heights,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20,4,3,PConc,4,3,4,1,1,1146,GasA,5,Y,SBrkr,2,1,4,5,8,1,4,Attchd,2007,3,2,428,3,3,2,0,0,No Misc,0,Mar,2008,New,Partial,1,3,1,12.142530960719474,2.0,1246,124,0
9,923426010,137500,1-STORY 1946 & NEWER ALL STYLES,RL,74,12395,2,0,4,Lvl,4,Corner,1,Mitchell,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0,3,3,CBlock,3,3,1,5,1,217,GasA,3,Y,SBrkr,3,1,3,6,8,0,0,Attchd,1984,1,2,484,3,3,2,0,0,No Misc,0,Apr,2008,Warranty Deed,Normal,1,26,0,11.831379196088763,1.0,1536,0,0
10,908186050,140000,PUD MULTILEVEL - INCL SPLIT LEV/FOYER,RM,35,3675,2,0,4,Lvl,4,Inside,1,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76,3,3,PConc,4,3,4,6,1,80,GasA,5,Y,SBrkr,2,1,4,5,8,0,0,Basment,2005,3,2,525,3,3,2,0,0,No Misc,0,May,2007,Warranty Deed,Normal,2,5,0,11.84939770159144,2.0,1539,44,0
11,528186170,219500,1-STORY PUD 1946 & NEWER,RL,48,6240,2,0,4,Lvl,4,Inside,1,Northridge Heights,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196,4,3,PConc,4,3,1,6,1,1318,GasA,5,Y,SBrkr,2,1,4,6,8,1,4,Attchd,2007,2,2,550,3,3,2,0,0,No Misc,0,Feb,2008,Warranty Deed,Normal,1,4,1,12.299107511497363,2.0,1366,35,0
12,923426070,136000,2-STORY 1946 & NEWER,RL,63,10475,2,0,4,Lvl,4,Inside,1,Mitchell,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,PConc,4,3,1,3,1,166,GasA,4,Y,SBrkr,3,1,3,6,8,0,0,Detchd,1993,1,2,576,3,3,2,0,2,No Misc,0,Mar,2010,Warranty Deed,Normal,2,19,0,11.820410164718188,1.5,1732,22,0
13,902204080,80000,1-STORY 1945 & OLDER,RM,62,7404,2,0,4,Lvl,4,Corner,1,Old Town,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,2,3,1,1,1,861,GasA,3,Y,SBrkr,2,1,3,5,8,0,0,Detchd,1920,1,2,288,3,3,0,0,0,No Misc,0,Nov,2009,Other,Normal,1,90,1,11.289781913656018,1.0,861,128,0
14,535105100,159000,1-STORY 1946 & NEWER ALL STYLES,RL,73,9500,2,0,3,Lvl,4,Inside,1,North Ames,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247,3,3,CBlock,4,3,1,4,1,785,GasA,4,Y,SBrkr,3,1,3,6,8,2,4,Attchd,1963,2,2,514,3,3,2,0,0,No Misc,0,Jul,2009,Warranty Deed,Normal,1,47,0,11.976659481202368,2.5,2003,261,0
15,907405020,214000,1-STORY 1946 & NEWER ALL STYLES,RL,70,9135,2,0,4,Lvl,4,Inside,1,College Creek,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113,4,3,PConc,4,3,3,6,1,726,GasA,5,Y,SBrkr,3,1,4,7,8,0,0,Attchd,2002,2,2,532,3,3,2,0,0,No Misc,0,Dec,2008,Warranty Deed,Normal,1,8,1,12.273731294003989,3.0,2346,266,0
16,531382110,163000,2-STORY 1946 & NEWER,RL,50,8480,2,0,3,Lvl,4,Inside,1,Sawyer West,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120,4,3,PConc,4,3,1,6,1,284,GasA,5,Y,SBrkr,3,1,4,7,8,0,0,Attchd,1993,2,2,474,3,3,2,0,0,No Misc,0,Oct,2008,Warranty Deed,Normal,2,17,1,12.0015054797889,3.0,2282,240,0
